-2.27835, 51.19053, "Longleat Caravan Club Site >441985844663"
-1.98403, 51.71418, "Cirencester Park Caravan Club Site >441285651546"
-1.64783, 51.77645, "Burford Caravan Club Site >441993823080"
-1.34095, 51.83819, "Bladon Chains Caravan Club Site >441993812390"
-1.86741, 51.88976, "Notgrove Caravan Club Site >441451850249"
-2.06911, 51.91844, "Cheltenham Racecourse Caravan Club Site >441242523102"
-1.71026, 51.98872, "Moreton-In-Marsh Caravan Club Site >441608650519"
-2.15740, 51.98912, "Tewkesbury Abbey Caravan Club Site >441684294035"
-1.87438, 52.04130, "Broadway Caravan Club Site >441386858786"
-2.27520, 52.09534, "Blackmore Caravan Club Site >441684310505"
-2.47019, 52.18708, "Bromyard Downs Caravan Club Site >441885482607"
-1.48651, 52.23999, "Harbury Fields Farm Touring Park >441926612457"
-1.59690, 52.27981, "Warwick Racecourse Caravan Club Site >441926495448"
-1.89420, 52.37300, "Chapel Lane Caravan Club Site >441564826483"
-0.90285, 51.54952, "Four Oaks Caravan Club Site >441491572312"
-0.76212, 51.57935, "Landis Media HQ - Supplies This Data >448454681655"
-0.66875, 50.80428, "Rowan Park Caravan Club Site >441243828515"
-0.54193, 50.82704, "Littlehampton Caravan Club Site >441903716176"
-0.50826, 51.59340, "Wyatts Covert Caravan Club Site >441895832729"
-0.43341, 50.83008, "Northbrook Farm Caravan Club Site >441903502962"
-0.42823, 51.75685, "Breakspear Way Caravan Club Site >441442268466"
-0.41279, 51.06789, "Slinfold Caravan Club Site >441403790269"
-0.30405, 52.31204, "Grafham Water Caravan Club Site >441480810264"
-0.20212, 51.14319, "Amberley Fields Caravan Club Site >441293524834"
-0.18848, 51.78049, "Commons Wood Caravan Club Site >441707260786"
-0.14163, 52.04261, "Ashridge Farm Caravan Club Site >441462742527"
-0.13888, 51.28320, "Alderstead Heath Caravan Club Site >441737644629"
-0.12074, 52.33119, "Houghton Mill Caravan Site >441480466716"
-0.09791, 50.82102, "Sheepcote Valley Caravan Club Site >441273626546"
-0.07315, 51.42503, "Crystal Palace Caravan Club Site >442087787155"
0.11971, 51.48635, "Abbey Wood Caravan Club Site >442083117708"
0.16798, 52.18089, "Cherry Hinton Caravan Club Site >441223244088"
0.19372, 50.92511, "Broomfield Farm Caravan Club Site >441825872242"
0.43189, 50.90770, "Normanhurst Court Caravan Club Site >441424773808"
0.47489, 51.14711, "Tanner Farm Touring Caravan & Camping Park >441622832399"
0.53222, 52.34939, "Round Plantation Caravan Club Site >441638713089"
